location,pos_x,
Arkansas,0.115730255,AK
Alaska,0.115730255,AL
Alabama,0.109814947,AR
Arizona,0.163381859,AZ
California,0.10105646,CA
Colorado,0.126729373,CO
Connecticut,0.098665174,CT
DC,0.102082636,DC
Delaware,0.097526953,DE
Florida,0.07092397,FL
Hawaii,0.117629252,GA
Iowa,0.075661972,HI
Idaho,0.15593526,IA
Illinois,0.080404706,ID
Indiana,0.113740566,IL
Kansas,0.08939422,IN
Kentucky,0.087572368,KS
Louisiana,0.128090909,KY
Massachusetts,0.113325831,LA
Maryland,0.107079857,MA
Maine,0.079090909,MD
Michigan,0.081012821,ME
Minnesota,0.096442697,MI
Missouri,0.101127018,MN
Mississippi,0.08653217,MO
Montana,0.090885845,MS
North Carolina,0.095331892,MT
North Dakota,0.095371429,NC
Nebraska,0.066850054,ND
New Hampshire,0.083803456,NE
New Jersey,0.090779932,NH
New Mexico,0.106543678,NJ
Nevada,0.112087623,NM
New York,0.099378804,NV
Ohio,0.106098126,NY
Oklahoma,0.124616092,OH
Oregon,0.092855478,OK
Pennsylvania,0.09552017,OR
Rhode Island,0.101563482,PA
South Carolina,0.102211497,RI
South Dakota,0.091870011,SC
Tennessee,0.075363748,SD
Texas,0.068429762,TN
Utah,0.081518359,TX
Virginia,0.093560523,UT
Vermont,0.080141583,VA
Washington,0.086179224,VT
West Virginia,0.074170732,WA
Wyoming,0.081340606,WI
Wisconsin,0.097526953,WV
Georgia,0.112087623,WY
