State,Clinton,Trump,
Alabama,"729,547","1,318,255",
Alaska,"116,454","163,387",
Arizona,"1,161,167","1,252,401",
Arkansas,"380,494","684,872",
California,"8,753,792","4,483,814",
Colorado,"1,338,870","1,202,484",
Connecticut,"897,572","673,215",
Delaware,"235,603","185,127",
D. C.,"282,830","12,723",
Florida,"4,504,975","4,617,886",
Georgia,"1,877,963","2,089,104",
Hawaii,"266,891","128,847",
Idaho,"189,765","409,055",
Illinois,"3,090,729","2,146,015",
Indiana,"1,033,126","1,557,286",
Iowa,"653,669","800,983",
Kansas,"427,005","671,018",
Kentucky,"628,854","1,202,971",
Louisiana,"780,154","1,178,638",
Maine,"357,735","335,593",
Maryland,"1,677,928","943,169",
Massachusetts,"1,995,196","1,090,893",
Michigan,"2,268,839","2,279,543",
Minnesota,"1,367,825","1,323,232",
Mississippi,"485,131","700,714",
Missouri,"1,071,068","1,594,511",
Montana,"177,709","279,240",
Nebraska,"284,494","495,961",
Nevada,"539,260","512,058",
New Hampshire,"348,526","345,790",
New Jersey,"2,148,278","1,601,933",
New Mexico,"385,234","319,667",
New York,"4,556,142","2,819,557",
North Carolina,"2,189,316","2,362,631",
North Dakota,"93,758","216,794",
Ohio,"2,394,169","2,841,006",
Oklahoma,"420,375","949,136",
Oregon,"1,002,106","782,403",
Pennsylvania,"2,926,441","2,970,733",
Rhode Island,"252,525","180,543",
South Carolina,"855,373","1,155,389",
South Dakota,"117,458","227,721",
Tennessee,"870,695","1,522,925",
Texas,"3,877,868","4,685,047",
Utah,"310,676","515,231",
Vermont,"178,573","95,369",
Virginia,"1,981,473","1,769,443",
Washington,"1,742,718","1,221,747",
West Virginia,"188,794","489,371",
Wisconsin,"1,382,536","1,405,284",
Wyoming,"55,973","174,419",
